episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
7,SAC-Discrete,144.6868415422829,9,1,9,1767798184.4839697,6048,0,0,0,9,0,9,9,7.235154867172241,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,SAC-Discrete,174.19187958841314,9,1,9,1767798191.7211392,6049,0,0,0,9,0,9,9,3.3626708984375,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,SAC-Discrete,145.9551572285111,8,0,8,1767798195.087877,6050,0,0,1,8,1,9,9,84.58709073066711,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,SAC-Discrete,177.95310179105994,9,1,9,1767798279.6874962,6051,0,0,0,9,0,9,9,4.15493106842041,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PPO-Discrete,167.3125303721034,9,1,9,1767798283.9161158,7042,0,0,0,9,0,9,9,7.6945579051971436,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PPO-Discrete,135.61394190353855,8,0,8,1767798291.6200173,7043,0,0,1,8,1,9,9,87.06269526481628,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
3,PPO-Discrete,182.34107216937343,9,1,9,1767798378.684221,7044,0,0,0,9,0,9,9,4.69741415977478,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,PPO-Discrete,147.33618364381738,8,0,8,1767798383.3851333,7045,0,0,1,8,1,9,9,83.60173487663269,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,PPO-Discrete,134.14004613999828,8,0,8,1767798466.9943323,7046,0,0,1,8,1,9,9,78.11166620254517,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
6,PPO-Discrete,166.98694634284539,9,1,9,1767798545.1075099,7047,0,0,0,9,0,9,9,4.902879238128662,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PPO-Discrete,160.10473101625564,9,1,9,1767798550.012399,7048,0,0,0,9,0,9,9,5.597224235534668,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PPO-Discrete,183.78843518163447,9,1,9,1767798555.617123,7049,0,0,0,9,0,9,9,5.970067739486694,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PPO-Discrete,132.6356253659705,8,0,8,1767798561.5921924,7050,0,0,1,8,1,9,9,83.8755795955658,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,PPO-Discrete,159.40869198548475,9,1,9,1767798645.469778,7051,0,0,0,9,0,9,9,4.590055227279663,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
