step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
314,34,,20.155572,1.000000,-0.226286,85.546908,8,140.148883,1.000000
315,34,,59.336018,1.000000,0.123803,144.882926,9,140.148883,1.000000
316,35,,15.403004,1.000000,0.165221,15.403004,1,140.284141,1.000000
317,35,,9.734881,1.000000,-0.199531,25.137885,2,140.284141,1.000000
318,35,,7.452126,1.000000,0.122490,32.590011,3,140.284141,1.000000
319,35,,8.460791,1.000000,-0.134933,41.050801,4,140.284141,1.000000
320,35,,12.203403,1.000000,-0.025053,53.254204,5,140.284141,1.000000
321,35,,7.896702,1.000000,0.048683,61.150906,6,140.284141,1.000000
322,35,,7.416547,1.000000,0.213612,68.567453,7,140.284141,1.000000
323,35,,17.383910,1.000000,-0.028588,85.951363,8,140.284141,1.000000
324,35,,59.253363,1.000000,0.000843,145.204726,9,140.284141,1.000000
325,36,,15.403004,1.000000,0.165221,15.403004,1,140.420824,1.000000
326,36,,8.246779,1.000000,-0.064993,23.649783,2,140.420824,1.000000
327,36,,7.416547,1.000000,0.207045,31.066330,3,140.420824,1.000000
328,36,,7.452126,1.000000,0.040275,38.518455,4,140.420824,1.000000
329,36,,9.734881,1.000000,-0.184905,48.253337,5,140.420824,1.000000
330,36,,18.836018,1.000000,0.067438,67.089355,6,140.420824,1.000000
331,36,,4.184090,1.000000,-0.001000,71.273445,7,140.420824,1.000000
332,36,,17.710333,1.000000,-0.103234,88.983778,8,140.420824,1.000000
333,36,,59.253363,1.000000,0.000843,148.237141,9,140.420824,1.000000
334,37,,15.403004,1.000000,0.165221,15.403004,1,140.632076,1.000000
335,37,,7.896702,1.000000,0.026737,23.299706,2,140.632076,1.000000
336,37,,7.916115,1.000000,-0.147531,31.215820,3,140.632076,1.000000
337,37,,7.452126,1.000000,0.104738,38.667946,4,140.632076,1.000000
338,37,,9.734881,1.000000,-0.175011,48.402828,5,140.632076,1.000000
339,37,,12.203403,1.000000,0.016307,60.606230,6,140.632076,1.000000
340,37,,7.416547,1.000000,0.213612,68.022777,7,140.632076,1.000000
341,37,,17.383910,1.000000,-0.028588,85.406687,8,140.632076,1.000000
342,37,,59.253363,1.000000,0.000843,144.660050,9,140.632076,1.000000
343,38,,15.403004,1.000000,0.165221,15.403004,1,140.738075,1.000000
344,38,,3.639414,1.000000,-0.017442,19.042418,2,140.738075,1.000000
345,38,,9.734881,1.000000,-0.190830,28.777299,3,140.738075,1.000000
346,38,,7.916115,1.000000,-0.118844,36.693414,4,140.738075,1.000000
347,38,,8.246779,1.000000,-0.013644,44.940193,5,140.738075,1.000000
348,38,,7.416547,1.000000,0.219675,52.356740,6,140.738075,1.000000
349,38,,18.753363,1.000000,0.027155,71.110103,7,140.738075,1.000000
350,38,,17.079050,1.000000,0.063052,88.189153,8,140.738075,1.000000
351,38,,59.336018,1.000000,0.123803,147.525171,9,140.738075,1.000000
352,39,,15.403004,1.000000,0.165221,15.403004,1,140.912104,1.000000
353,39,,7.896702,1.000000,0.026737,23.299706,2,140.912104,1.000000
354,39,,8.246779,1.000000,-0.079045,31.546485,3,140.912104,1.000000
355,39,,9.734881,1.000000,-0.162081,41.281367,4,140.912104,1.000000
356,39,,3.639414,1.000000,-0.003631,44.920781,5,140.912104,1.000000
357,39,,6.753363,1.000000,0.023351,51.674144,6,140.912104,1.000000
358,39,,7.916115,1.000000,-0.139430,59.590259,7,140.912104,1.000000
