step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
245,25,,,,0.076837,-44.535294,0.292856,0.146428,44.612131,3.687085,40.925046,92.675324,2,2,2,248.972959,0.967593
246,25,,,,0.025707,-3.936347,0.291392,0.145696,3.962054,3.962054,0.000000,96.637378,3,3,3,248.972959,0.967593
247,25,,,,0.077556,-6.602539,0.289935,0.144968,6.680095,16.680095,-10.000000,103.317473,4,4,4,248.972959,0.967593
248,25,,,,0.031657,-52.919519,0.288486,0.144243,52.951176,9.748334,43.202842,156.268649,5,5,5,248.972959,0.967593
249,25,,,,0.097818,-24.806623,0.287043,0.143522,24.904441,24.904441,0.000000,181.173090,6,5,6,248.972959,0.967593
250,25,,,,0.103334,-6.870947,0.285608,0.142804,6.974281,6.974281,0.000000,188.147371,7,5,7,248.972959,0.967593
251,25,,,,0.048127,-17.311426,0.284180,0.142090,17.359553,17.359553,0.000000,205.506924,8,5,8,248.972959,0.967593
252,25,,,,0.113319,-59.340301,0.282759,0.141379,59.453620,59.453620,0.000000,264.960544,9,5,9,248.972959,0.967593
253,26,,,,0.063769,-42.894958,0.281345,0.140673,42.958727,2.461160,40.497567,42.958727,1,1,1,249.612462,0.968889
254,26,,,,0.085317,-8.005603,0.279938,0.139969,8.090920,8.090920,0.000000,51.049647,2,1,2,249.612462,0.968889
255,26,,,,0.068138,-48.114278,0.278539,0.139269,48.182416,8.192231,39.990185,99.232063,3,2,3,249.612462,0.968889
256,26,,,,0.090318,2.584109,0.277146,0.138573,-2.493791,7.506209,-10.000000,96.738272,4,3,4,249.612462,0.968889
257,26,,,,0.088406,-16.733721,0.275760,0.137880,16.822127,16.822127,0.000000,113.560399,5,4,5,249.612462,0.968889
258,26,,,,0.086903,-50.987829,0.274382,0.137191,51.074732,7.557583,43.517150,164.635131,6,5,6,249.612462,0.968889
259,26,,,,0.060413,-5.807844,0.273010,0.136505,5.868257,5.868257,0.000000,170.503388,7,5,7,249.612462,0.968889
260,26,,,,0.072294,-19.226976,0.271645,0.135822,19.299269,19.299269,0.000000,189.802657,8,5,8,249.612462,0.968889
261,26,,,,0.057061,-56.186318,0.270286,0.135143,56.243380,56.243380,0.000000,246.046037,9,5,9,249.612462,0.968889
262,27,,,,0.099743,5.324101,0.268935,0.134467,-5.224358,-25.000000,19.775642,-5.224358,1,1,0,249.475292,0.970085
263,27,,,,0.148506,-54.729362,0.267590,0.133795,54.877869,15.353102,39.524766,49.653511,2,2,1,249.475292,0.970085
264,27,,,,0.099852,-4.612890,0.266252,0.133126,4.712743,4.712743,0.000000,54.366253,3,2,2,249.475292,0.970085
265,27,,,,0.082506,2.589874,0.264921,0.132461,-2.507369,7.492631,-10.000000,51.858885,4,3,3,249.475292,0.970085
266,27,,,,0.121612,-47.604696,0.263596,0.131798,47.726308,8.217907,39.508401,99.585193,5,4,4,249.475292,0.970085
